"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
251542,NA,NA,"Candidatus Blochmannia chromaiodes","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Candidatus Blochmannia",203804,"genus"
252583,NA,NA,"Vibrio ezurae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Vibrio",662,"genus"
263906,NA,NA,"Methanolinea tarda","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanolinea",499551,"genus"
273376,NA,NA,"Sphaerochaeta coccoides","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Sphaerochaeta",399320,"genus"
328813,NA,NA,"Alistipes onderdonkii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Alistipes",239759,"genus"
286420,NA,NA,"Hahella ganghwensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Hahella",158481,"genus"
305900,NA,NA,"Endozoicomonas elysicola","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Endozoicomonas",305899,"genus"
547188,NA,NA,"Phycisphaera mikurensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Phycisphaera",666508,"genus"
570267,NA,NA,"Methanocella paludicola","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanocella",570266,"genus"
1131703,NA,NA,"Sphaerochaeta globosa","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Sphaerochaeta",399320,"genus"
1163710,NA,NA,"Cronobacter condimenti","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Cronobacter",413496,"genus"
1175445,NA,NA,"Methanocella arvoryzae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanocella",570266,"genus"
1727,NA,NA,"Corynebacterium variabile","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Corynebacterium",1716,"genus"
2033,NA,NA,"Microbacterium testaceum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Microbacterium",33882,"genus"
2208,NA,NA,"Methanosarcina barkeri","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanosarcina",2207,"genus"
36821,NA,NA,"Gordonia amarae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Gordonia",2053,"genus"
84096,NA,NA,"Gordonia alkanivorans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Gordonia",2053,"genus"
89059,NA,NA,"Lactobacillus acidipiscis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Ligilactobacillus",2767887,"genus"
100225,NA,NA,"Austwickia chelonae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Austwickia",1184606,"genus"
152794,NA,NA,"Corynebacterium efficiens","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Corynebacterium",1716,"genus"
320799,NA,NA,"Gordonia soli","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Gordonia",2053,"genus"
475088,NA,NA,"Methanosphaerula palustris","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanosphaerula",475087,"genus"
665550,NA,NA,"Dietzia alimentaria","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Dietzia",37914,"genus"
1032851,NA,NA,"Corynebacterium nuruki","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Corynebacterium",1716,"genus"
2203,NA,NA,"Methanospirillum hungatei","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanospirillum",2202,"genus"
301375,NA,NA,"Methanosaeta harundinacea","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanothrix",2222,"genus"
438,NA,NA,"Acetobacter pasteurianus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Acetobacter",434,"genus"
926,NA,NA,"Thiomonas intermedia","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Thiomonas",32012,"genus"
62140,NA,NA,"Acidiphilium multivorum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Acidiphilium",522,"genus"
844,NA,NA,"Wolinella succinogenes","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Wolinella",843,"genus"
84159,NA,NA,"Magnetospirillum magneticum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Magnetospirillum",13134,"genus"
721785,NA,NA,"Acidovorax ebreus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Diaphorobacter",238749,"genus"
758826,NA,NA,"Acidovorax radicis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Acidovorax",12916,"genus"
671622,NA,NA,"Microbacterium yannicii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Microbacterium",33882,"genus"
106,NA,NA,"Runella slithyformis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Runella",105,"genus"
274,NA,NA,"Thermus thermophilus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Thermus",270,"genus"
531,NA,NA,"Polaribacter irgensii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Polaribacter",52959,"genus"
